pid,team,name,number,pos,b_t,wt,ht,born,debut,edu,nationality,original_name,draft
0000000742,中信兄弟二軍,王則鈞,33,投手,右投右打,181,86,1995/08/07,2014/03/27,遠東科大,中華民國,,兄弟象2013年第三輪
0000004626,中信兄弟二軍,王奕凱,54,投手,左投左打,183,80,2000/08/29,2019/05/15,城市科大,中華民國,,中信兄弟2018年第五輪
0000000929,中信兄弟,王威晨,9,二壘手,右投左打,183,75,1991/07/03,2016/04/26,輔仁大學,中華民國,,中信兄弟2015年第十三輪
0000002307,中信兄弟二軍,王政順,61,三壘手,右投左打,175,78,1996/10/30,,桃園農工,中華民國,王崇穎,中信兄弟2018年第六輪
0000001387,中信兄弟二軍,王梓安,37,投手,右投右打,198,90,1990/10/09,2014/03/23,吳鳳科大,中華民國,,兄弟象2013年第四輪
0000000776,中信兄弟二軍,王凱程,15,投手,右投右打,192,91,1991/09/08,2017/09/14,日本經濟大學,中華民國,,
0000003211,中信兄弟二軍,王勝偉,14,游擊手,右投右打,180,73,1984/04/01,2008/03/19,臺灣體院,中華民國,Haro Ngayaw,兄弟象2006年第一輪
0000004636,中信兄弟,江坤宇,90,游擊手,右投右打,175,72,2000/07/04,2019/06/25,平鎮高中,中華民國,,中信兄弟2018年第三輪
0000001232,中信兄弟二軍,江忠城,20,投手,右投右打,180,90,1990/03/10,2014/09/07,國立體大,中華民國,,中信兄弟2014年第一輪
0000006176,中信兄弟二軍,余謙,49,投手,右投右打,180,76,2001/04/09,2021/05/07,臺東體中,中華民國,,中信兄弟2020年第一輪
0000002304,中信兄弟二軍,吳明鴻,5,捕手,右投右打,178,85,1994/11/02,2018/03/25,文化大學,中華民國,,中信兄弟2017年第五輪
0000004625,中信兄弟,吳俊偉,94,投手,右投右打,175,71,1998/12/31,2019/03/26,屏東高中,中華民國,池俊偉,中信兄弟2018年第四輪
0000001515,中信兄弟二軍,吳哲源,93,投手,右投右打,175,68,1994/08/12,2017/07/12,高苑科大,中華民國,,中信兄弟2016年第十輪
0000001330,中信兄弟二軍,*吳蔚驊,22,投手,右投右打,180,92,1991/03/15,2018/04/21,大理高中,中華民國,,中信兄弟2017年第十輪
0000003639,中信兄弟,呂彥青,58,投手,左投左打,175,65,1996/03/10,2021/08/29,臺灣體大,中華民國,,中信兄弟2021年第一輪
0000006225,中信兄弟,宋晟睿,88,左外野手,右投右打,182,78,2002/08/14,2021/07/16,平鎮高中,中華民國,,中信兄弟2020年第二輪
0000000773,中信兄弟二軍,李吳永勤,30,投手,左投左打,177,83,1998/03/29,2020/09/29,高苑工商,中華民國,,
0000006733,中信兄弟二軍,*李家成,73,投手,右投右打,185,90,1999/12/21,,,中華民國,,中信兄弟2021年第六輪
0000003331,中信兄弟,李振昌,34,投手,右投右打,180,86,1986/10/21,2018/07/25,臺北體院,中華民國,,中信兄弟2018年第一輪
0000005656,中信兄弟,李聖裕,2,中外野手,右投左打,178,75,1997/05/06,2021/09/03,臺東大學,中華民國,,
0000006735,中信兄弟二軍,◎李榕津,103,投手,右投右打,189,74,2000/01/19,,,中華民國,,
0000000753,中信兄弟二軍,杜家明,71,三壘手,右投右打,183,98,1996/02/03,2015/03/22,嘉藥大學,中華民國,,中信兄弟2014年第四輪
0000006731,中信兄弟二軍,*周委宏,89,游擊手,右投左打,175,75,2002/11/17,,,中華民國,,中信兄弟2021年第四輪
0000000853,中信兄弟,周思齊,16,左外野手,左投左打,178,90,1981/10/26,2005/08/13,輔仁大學,中華民國,,誠泰太陽2003年第三輪
0000001349,中信兄弟二軍,*周磊,99,投手,右投右打,184,89,1991/04/16,2015/10/08,臺北體院,中華民國,,中信兄弟2015年第八輪
0000003078,中信兄弟二軍,官大元,18,投手,右投右打,174,68,1983/09/09,2011/03/20,嘉義大學,中華民國,,兄弟象2010年第四輪
0000002291,中信兄弟,岳東華,98,游擊手,右投左打,178,75,1995/10/19,2017/10/08,開南大學,中華民國,,中信兄弟2017年第一輪
0000005571,中信兄弟二軍,岳政華,92,中外野手,左投左打,176,85,2001/01/29,2020/09/26,開南大學,中華民國,,中信兄弟2019年第一輪
0000001675,中信兄弟二軍,林丞軒,38,投手,右投右打,183,82,1993/06/22,,高苑科大,中華民國,林雅各,中信兄弟2018年第七輪
0000006224,中信兄弟二軍,林吳晉瑋,0,捕手,右投左打,179,80,2002/02/04,,穀保家商,中華民國,,中信兄弟2020年第五輪
0000005342,中信兄弟二軍,林志綱,47,三壘手,右投左打,178,72,1999/02/13,2021/10/01,臺灣體大,中華民國,,中信兄弟2020年第四輪
0000000976,中信兄弟,林明杰,12,捕手,右投右打,187,101,1991/03/18,2015/10/08,文化大學,中華民國,,中信兄弟2015年第七輪
0000001754,中信兄弟二軍,林書逸,43,中外野手,右投左打,181,78,1993/05/20,2017/07/05,文化大學,中華民國,,中信兄弟2016年第五輪
0000000045,中信兄弟二軍,林智勝,25,二壘手,右投右打,183,108,1982/01/01,2004/06/03,善化高中,中華民國,Ngayaw ‧ Ake',La new熊2003年第一輪
0000006750,中信兄弟二軍,◎林瑞祥,108,投手,右投右打,177,79,1999/09/24,,臺灣體大,中華民國,,
0000005567,中信兄弟二軍,林瑞鈞,75,二壘手,右投左打,173,65,2001/04/06,,西苑高中,中華民國,,中信兄弟2019年第七輪
0000000138,中信兄弟二軍,*林樺慶,17,投手,右投右打,186,85,1994/10/03,2014/09/28,高苑工商,中華民國,,Lamigo桃猿2014年第二輪
0000005570,中信兄弟二軍,*邱志恆,10,中外野手,右投右打,176,85,2001/01/29,,遠東科大,中華民國,,中信兄弟2019年第八輪
0000006243,中信兄弟二軍,◎徐浩凱,101,游擊手,右投左打,176,69,1995/11/19,,臺北市大,中華民國,,
0000006708,中信兄弟二軍,#格里斯,87,投手,左投左打,193,95,1992/06/13,2021/08/18,,加拿大,Evan Grills,
0000006220,中信兄弟二軍,*馬鋼,68,三壘手,右投右打,184,84,2002/04/14,,普門高中,中華民國,,中信兄弟2020年第三輪
0000002285,中信兄弟,高宇杰,65,捕手,右投右打,184,88,1997/07/17,2019/06/25,國立體大,中華民國,,中信兄弟2018年第二輪
0000006730,中信兄弟二軍,*張仁瑋,28,二壘手,右投右打,175,74,2003/05/01,,,中華民國,,中信兄弟2021年第三輪
0000003602,中信兄弟,張志強,69,二壘手,右投左打,168,80,1989/12/21,2014/08/28,文化大學,中華民國,,中信兄弟2014年第五輪
0000003183,中信兄弟二軍,#張志豪,7,中外野手,右投左打,180,81,1987/05/15,2010/03/20,臺灣體院,中華民國,,兄弟象2009年第二輪
0000005565,中信兄弟二軍,#張聖豪,52,捕手,右投左打,175,70,2001/05/11,,稻江學院,中華民國,,中信兄弟2019年第四輪
0000001119,中信兄弟,許基宏,74,三壘手,右投左打,187,103,1992/07/22,2014/09/03,臺灣體院,中華民國,,中信兄弟2014年第二輪
0000000743,中信兄弟,陳子豪,1,右外野手,左投左打,179,89,1995/07/29,2013/10/13,嘉藥大學,中華民國,,兄弟象2013年第二輪
0000000772,中信兄弟,陳文杰,4,中外野手,右投左打,184,76,1997/10/11,2017/10/04,大同學院,中華民國,,中信兄弟2016年第七輪
0000006729,中信兄弟二軍,陳志杰,3,投手,右投右打,183,91,2002/12/09,,,中華民國,,中信兄弟2021年第二輪
0000000779,中信兄弟,陳柏豪,83,投手,右投右打,178,78,1999/01/28,2017/10/07,西苑高中,中華民國,,中信兄弟2017年第三輪
0000000744,中信兄弟二軍,陳家駒,42,捕手,右投左打,180,81,1989/04/07,2014/04/02,吳鳳科大,中華民國,,兄弟象2013年第五輪
0000003255,中信兄弟,陳偉漢,13,游擊手,右投右打,178,82,1989/08/29,2014/08/28,臺灣體院,中華民國,,中信兄弟2014年第九輪
0000006732,中信兄弟二軍,*陳統恩,48,捕手,右投右打,178,81,2001/09/19,,,中華民國,,中信兄弟2021年第五輪
0000000771,中信兄弟,陳琥,62,投手,右投左打,180,99,1998/04/29,2018/03/24,大同學院,中華民國,,中信兄弟2016年第一輪
0000001005,中信兄弟二軍,彭識穎,21,投手,左投左打,175,71,1992/07/02,2016/03/19,輔仁大學,中華民國,,中信兄弟2015年第三輪
0000006218,中信兄弟二軍,*曾家鋐,59,投手,右投右打,178,70,1997/09/03,,南華大學,中華民國,,中信兄弟2020年第八輪
0000005569,中信兄弟二軍,曾頌恩,32,中外野手,右投右打,178,92,2000/01/08,2021/07/17,開南大學,中華民國,,中信兄弟2019年第三輪
0000006748,中信兄弟,華德茲,97,投手,右投右打,180,95,1990/03/01,2021/11/04,,多明尼加,Jose Valdez,
0000006749,中信兄弟,象魔力,55,投手,左投左打,183,93,1992/11/20,2021/10/31,,美國,Shawn Morimando,
0000005566,中信兄弟二軍,黃弘毅,84,投手,右投右打,183,78,2001/04/06,,稻江學院,中華民國,,中信兄弟2019年第五輪
0000005298,中信兄弟二軍,黃韋盛,66,二壘手,右投右打,183,82,1999/02/19,2021/07/17,遠東科大,中華民國,,中信兄弟2020年第六輪
0000002271,中信兄弟二軍,黃恩賜,64,投手,右投左打,185,98,1996/05/17,2019/03/26,臺灣體大,中華民國,,中信兄弟2017年第二輪
0000003548,中信兄弟,黃鈞聲,26,捕手,右投右打,178,100,1989/01/19,2012/03/17,嘉藥大學,中華民國,,兄弟象2010年第七輪
0000006734,中信兄弟二軍,*黃鈞麟,60,右外野手,左投左打,175,66,2003/06/02,,,中華民國,,中信兄弟2021年第七輪
0000001194,中信兄弟二軍,楊志龍,56,投手,右投右打,189,102,1993/04/07,2017/07/23,文化大學,中華民國,,中信兄弟2016年第三輪
0000000777,中信兄弟二軍,*楊達翔,82,投手,右投右打,191,97,1993/10/03,2017/09/23,大同學院,中華民國,,中信兄弟2017年第七輪
0000002297,中信兄弟,詹子賢,39,右外野手,右投右打,183,92,1994/02/24,2016/08/21,文化大學,中華民國,,中信兄弟2016年第二輪
0000002281,中信兄弟,廖乙忠,11,投手,右投右打,186,113,1995/11/02,2019/06/30,開南大學,中華民國,,
0000006221,中信兄弟二軍,*劉貴元,85,中外野手,右投左打,175,72,2002/01/19,,普門高中,中華民國,,中信兄弟2020年第九輪
0000006006,中信兄弟,德保拉,46,投手,左投右打,195,94,1988/03/04,2020/04/14,,多明尼加,Jose De Paula,
0000001129,中信兄弟二軍,潘志芳,63,二壘手,右投左打,180,82,1990/11/12,2015/09/04,臺灣體大,中華民國,潘萣翔,中信兄弟2015年第二輪
0000000778,中信兄弟,蔡齊哲,50,投手,右投右打,182,78,1995/12/18,2017/09/27,臺東大學,中華民國,,中信兄弟2017年第四輪
0000001350,中信兄弟二軍,鄭佳彥,41,投手,左投左打,184,92,1992/07/29,2019/03/24,臺北市大,中華民國,,中信兄弟2017年第八輪
0000003334,中信兄弟,鄭凱文,19,投手,右投右打,176,80,1988/07/26,2014/03/25,文化大學,中華民國,,兄弟象2013年第一輪
0000003506,中信兄弟,謝榮豪,79,投手,右投右打,188,101,1990/07/09,2014/03/23,臺灣體院,中華民國,,兄弟象2013年第二輪
0000005572,中信兄弟二軍,魏碩成,80,投手,左投左打,182,78,1997/06/17,2020/08/12,遠東科大,中華民國,,中信兄弟2019年第二輪
0000006005,中信兄弟二軍,羅傑斯,35,投手,右投右打,190,91,1985/08/14,2020/04/17,,多明尼加,Esmil Rogers,
0000000908,中信兄弟二軍,蘇緯達,96,一壘手,右投左打,185,103,1990/11/10,2015/10/08,臺灣體院,中華民國,,中信兄弟2015年第五輪
0000005534,味全龍二軍,#牛塏曄,99,捕手,右投右打,172,96,1994/01/02,2021/03/27,亞洲大學,中華民國,,味全龍2019年第十八輪
0000002278,味全龍,王玉譜,90,投手,左投左打,184,81,1996/01/18,2016/08/30,開南大學,中華民國,,統一7-ELEVEn獅2016年第四輪
0000006216,味全龍,王順和,35,三壘手,右投右打,175,70,2001/10/26,2021/08/28,穀保家商,中華民國,,味全龍2020年第四輪
0000001603,味全龍二軍,王維中,16,投手,左投左打,188,83,1992/04/25,2021/03/14,臺灣體大,中華民國,,味全龍2020年第一輪
0000006423,味全龍,田澤純一,95,投手,右投右打,180,82,1986/06/06,2021/03/17,,日本,Tazawa Junichi,
0000000356,味全龍,石翔宇,72,游擊手,右投右打,178,70,1996/11/01,2016/05/14,南英商工,中華民國,,義大犀牛2015年第十輪
0000000762,味全龍,伍鐸,52,投手,右投右打,185,91,1986/10/24,2015/08/02,,美國,Bryan Woodall,
0000005532,味全龍二軍,全浩瑋,22,捕手,右投右打,180,96,1998/05/30,2021/04/03,南華大學,中華民國,,味全龍2019年第十一輪
0000003625,味全龍,吉力吉撈．鞏冠,4,捕手,右投右打,180,104,1994/03/13,2021/08/25,臺灣體大,中華民國,朱立人,味全龍2021年第一輪
0000005546,味全龍,朱祥麟,57,二壘手,右投右打,187,85,1998/09/21,2021/03/26,開南大學,中華民國,,味全龍2019年第二輪
0000001409,味全龍,吳東融,67,游擊手,右投右打,173,72,1991/09/29,2016/09/11,國立體大,中華民國,,中信兄弟2016年第四輪
0000006727,味全龍二軍,*吳秉恩,65,投手,右投右打,185,85,2003/03/29,,平鎮高中,中華民國,,味全龍2021年第四輪
0000002279,味全龍二軍,吳俊杰,20,投手,右投右打,190,80,1996/11/07,2021/03/20,開南大學,中華民國,,味全龍2019年第四輪
0000000360,味全龍二軍,吳睿勝,13,二壘手,右投左打,177,76,1994/06/23,2017/07/06,輔仁大學,中華民國,吳筌宏,
0000005552,味全龍二軍,呂偉晟,39,投手,右投右打,192,80,1999/07/10,2021/03/14,美和科大,中華民國,,味全龍2019年第九輪
0000005372,味全龍二軍,呂詠臻,40,投手,右投右打,179,74,1998/12/24,,臺灣體大,中華民國,,味全龍2020年第六輪
0000005535,味全龍二軍,*李宇翔,11,投手,右投右打,175,71,1997/05/07,,國立體大,中華民國,,味全龍2019年第十九輪
0000006726,味全龍二軍,*李展毅,36,捕手,右投右打,188,115,2003/01/30,,大理高中,中華民國,,味全龍2021年第三輪
0000005540,味全龍,李凱威,21,游擊手,右投左打,174,76,1997/09/11,2021/03/14,文化大學,中華民國,,味全龍2019年第二輪
0000001821,味全龍,林子昱,71,投手,右投右打,185,78,1993/09/19,2021/03/18,康寧大學,中華民國,,味全龍2019年第五輪
0000005548,味全龍,林孝程,1,右外野手,右投左打,172,80,1999/11/30,2021/07/13,,中華民國,,味全龍2019年第十三輪
0000006217,味全龍二軍,林辰勳,9,捕手,右投右打,180,70,2001/12/10,2021/03/25,穀保家商,中華民國,,味全龍2020年第二輪
0000000350,味全龍二軍,林旺衛,28,中外野手,右投左打,183,87,1988/06/28,2015/03/22,臺灣體大,中華民國,,義大犀牛2014年第二輪
0000000354,味全龍二軍,林政賢,47,投手,左投左打,180,90,1995/09/13,2016/06/04,文化大學,中華民國,,義大犀牛2015年第六輪
0000006159,味全龍,林逸達,48,投手,右投右打,185,99,2000/12/26,2021/08/20,臺灣體大,中華民國,,味全龍2020年第二輪
0000001713,味全龍二軍,林驛騰,5,左外野手,右投左右開弓,184,94,1992/01/04,2021/04/24,臺灣體大,中華民國,林家慶,味全龍2019年第二十四輪
0000005341,味全龍二軍,邱辰,50,右外野手,左投右打,177,80,1999/02/01,,臺灣體大,中華民國,,味全龍2021年第七輪
0000006746,味全龍,柯西諾,53,投手,右投右打,180,97,1990/08/26,2021/10/31,,多明尼加,Daniel Corcino,
0000002293,味全龍,洪瑋漢,88,左外野手,左投左打,170,75,1995/12/03,2021/03/17,,中華民國,,味全龍2019年第十二輪
0000005543,味全龍二軍,徐若熙,18,投手,右投右打,177,76,2000/11/01,2021/03/17,平鎮高中,中華民國,,味全龍2019年第一輪
0000002294,味全龍二軍,高淮安,55,中外野手,右投左打,184,85,1995/11/30,,開南大學,中華民國,,味全龍2019年第二十七輪
0000005542,味全龍,張政禹,25,三壘手,右投左打,178,70,2000/06/08,2021/07/13,美和高中,中華民國,,味全龍2019年第七輪
0000006725,味全龍二軍,◎張祐嘉,81,左外野手,左投左打,185,86,2003/05/24,,西苑高中,中華民國,,
0000005553,味全龍,張祐銘,34,右外野手,右投左打,180,86,1997/03/15,2021/04/09,開南大學,中華民國,,味全龍2019年第十五輪
0000002290,味全龍二軍,#張皓緯,6,游擊手,右投右打,177,85,1994/12/13,2021/08/08,文化大學,中華民國,,味全龍2019年第二十三輪
0000006723,味全龍二軍,*張鈞守,74,投手,右投右打,186,84,2002/10/15,,南英商工,中華民國,,味全龍2021年第五輪
0000006724,味全龍二軍,*曹祐齊,51,投手,右投右打,186,87,2003/03/30,,大理高中,中華民國,,味全龍2021年第二輪
0000005550,味全龍二軍,莊玉彬,29,投手,右投右打,172,69,2001/05/29,2021/05/07,美和高中,中華民國,,味全龍2019年第十輪
0000005549,味全龍,郭天信,2,中外野手,右投左打,173,70,2000/04/15,2021/03/14,文化大學,中華民國,,味全龍2019年第三輪
0000005541,味全龍,郭郁政,17,投手,右投右打,187,94,1997/12/01,2021/07/18,,中華民國,,
0000005551,味全龍二軍,陳良志,32,投手,右投右打,177,69,1997/04/30,,遠東科大,中華民國,,味全龍2019年第二十五輪
0000003644,味全龍,陳明軒,75,投手,右投右打,179,80,1993/09/17,2016/08/31,開南大學,中華民國,,義大犀牛2016年第四輪
0000005555,味全龍,陳冠偉,59,投手,右投右打,182,102,1996/10/28,2021/09/15,臺灣體大,中華民國,,味全龍2019年第十七輪
0000001284,味全龍二軍,陳品捷,93,右外野手,右投左打,183,80,1991/07/23,2017/07/12,南英商工,中華民國,,富邦悍將2017年第二輪
0000006728,味全龍二軍,陳思仲,44,二壘手,右投右打,177,80,2000/10/18,,美國艾德蒙社區學院,中華民國,,味全龍2021年第六輪
0000005557,味全龍二軍,陳震洋,77,右外野手,右投右打,176,91,2001/03/29,,普門高中,中華民國,,味全龍2019年第二十一輪
0000005539,味全龍二軍,曾柏融,61,投手,左投左打,182,75,1998/05/01,,文化大學,中華民國,,味全龍2019年第二十輪
0000001114,味全龍二軍,曾陶鎔,58,右外野手,右投右打,182,84,1991/04/27,2015/10/11,高苑科大,中華民國,,中信兄弟2015年第十輪
0000005544,味全龍二軍,曾傳昇,33,游擊手,右投左打,175,68,2000/11/22,2021/03/14,高苑工商,中華民國,,味全龍2019年第三輪
0000001472,味全龍二軍,#森榮鴻,7,投手,右投右打,185,82,1994/08/20,,國立體大,中華民國,,味全龍2019年第六輪
0000000155,味全龍,游宗儒,0,投手,右投右打,181,67,1992/05/21,2016/06/02,萬能科大,中華民國,,Lamigo桃猿2015年第四輪
